1744600886,24915
1744600983,24915
1744601030,24915
1744601216,24915
1744601280,24900
1744601468,24910
1744601675,24910
1744601714,25000
1744601789,24900
1744601881,24915
1744602430,25400
1744602499,24800
1744602556,24915
1744603058,24915
1744603124,24915
1744603310,24915
1744603588,24915
1744603664,25198
1744603995,24915
1744604207,24915
1744604459,24915
1744604809,24915
1744605096,24800
1744605140,24800
1744605218,24800
1744605248,24800
1744605334,24800
1744605350,24800
1744605433,24800
1744605589,24800
1744605641,24800
1744605999,24915
1744606321,24915
1744606368,24915
1744606435,24911
1744606447,24911
1744606624,24911
1744606998,24900
1744607458,24915
1744607733,24915
1744607857,24915
1744608278,24915
1744608616,24915
1744608698,24840
1744608801,24915
1744609161,24791
1744609895,24800
1744610072,24771
1744610250,24840
1744610527,24840
1744610927,24840
1744611064,24915
1744611134,24915
1744611689,24915
1744612347,24791
1744613559,24842
1744614263,24915
1744614594,24915
1744614664,24915
1744615069,24800
1744615687,24798
1744615787,24800
1744616125,24800
1744616742,24914
1744617340,24790
1744617507,24915
1744617586,24915
1744617642,25000
1744618290,24914
1744618425,24915
1744618723,24915
1744618823,24915
1744618885,24915
1744618930,24915
1744619064,24915
1744619103,24915
1744619230,24915
1744619303,24915
1744619456,24915
1744619943,24915
1744620201,24915
1744620499,24915
1744621062,24915
1744621140,25337
1744621298,24915
1744621786,24902
1744622577,24889
1744623254,25010
1744625116,24883
1744625474,24900
1744625640,25000
1744625673,25000
1744626157,24850
1744626229,24900
1744626871,25010
1744626884,25010
1744627414,25010
1744627457,25010
1744627730,25010
1744627873,25010
1744628277,25010
1744628503,25010
1744628697,24999
1744628743,25010
1744628947,25010
1744629193,25010
1744629289,25010
1744629438,25010
1744629459,25224
1744629511,25010
1744629657,25010
1744629779,25010
1744629897,25010
1744629967,25010
1744630091,25010
1744630166,24824
1744630198,24824
1744630285,24824
1744630354,24780
1744630488,24824
1744630578,24824
1744630786,25010
1744631230,25010
1744631748,24800
1744633197,25010
1744633234,25010
1744633912,25010
1744634336,25010
1744634609,25010
1744634969,25010
1744635088,25010
1744635180,25010
1744635347,25010
1744635406,25010
1744635466,25010
1744635503,25010
1744635601,25010
1744635682,25010
1744635885,25010
